"Day","Tierkidi sim","Tierkidi data","Tierkidi error","Kakuma sim","Kakuma data","Kakuma error","Khartoum sim","Khartoum data","Khartoum error","West_Kordofan sim","West_Kordofan data","West_Kordofan error","Adjumani sim","Adjumani data","Adjumani error","Rhino sim","Rhino data","Rhino error","Kiryandongo sim","Kiryandongo data","Kiryandongo error","Total error","refugees in camps (UNHCR)","total refugees (simulation)","raw UNHCR refugee count","refugees in camps (simulation)","refugee_debt"
87,462,10429,0.955700450666,14511,26276,0.447746993454,123,3373,0.963533946042,2904,2236,0.298747763864,16899,57855,0.707907700285,12586,8895,0.414952220349,4091,13060,0.686753445636,0.671653331814001,122861,122861,122861,55567,0
88,506,11174,0.95471630571,14848,26546,0.440669027349,126,4120,0.969417475728,3002,2236,0.342576028623,17153,58336,0.705962013165,12783,8973,0.424607154798,4158,13161,0.684066560292,0.674179003232114,125305,125305,125305,56691,0
89,539,11918,0.954774290988,15200,26885,0.434628975265,129,4867,0.973494966098,3075,2236,0.375223613596,17416,58817,0.70389513236,12962,8971,0.444877940029,4220,13372,0.684415195932,0.677549551804515,127846,127846,127846,57758,0
90,583,12663,0.953960356945,15589,27189,0.426643127735,135,5614,0.975952974706,3137,2236,0.402951699463,17675,59298,0.70192923876,13176,8968,0.469223907226,4284,13582,0.684582535709,0.680572603412299,130352,130352,130352,58906,0
91,620,13408,0.953758949881,15948,27570,0.42154515778,140,6362,0.977994341402,3221,2236,0.440518783542,17943,59780,0.699849447976,13362,8966,0.490296676333,4358,13793,0.68404263032,0.683802345436629,132939,132939,132939,60035,0
92,664,14153,0.95308415177,16296,27918,0.416290565227,144,7109,0.979743986496,3305,2236,0.478085867621,18191,60261,0.698129802028,13509,8963,0.507196251255,4414,14004,0.684804341617,0.68696351733351,135489,135489,135489,61093,0
93,694,14898,0.953416565982,16633,28169,0.409528204764,151,7856,0.980779022403,3384,2236,0.513416815742,18493,60742,0.695548384973,13653,8961,0.523602276532,4501,14214,0.683340368651,0.689168714614007,137943,137943,137943,62195,0
94,727,15643,0.95352553858,16963,28517,0.405161833292,154,8603,0.982099267697,3471,2236,0.552325581395,18791,61223,0.693072864773,13758,8958,0.535833891494,4578,14425,0.682634315425,0.691287110389841,140493,140493,140493,63218,0
95,778,16388,0.952526238711,17295,28773,0.398915650089,160,8739,0.981691269024,3557,2236,0.590787119857,19120,61704,0.690133540775,13836,8956,0.54488610987,4659,14635,0.681653570208,0.691424115328682,142341,142341,142341,64305,0
96,822,17133,0.952022412887,17616,29119,0.395034170129,168,8876,0.981072555205,3648,2236,0.631484794275,19434,62186,0.687485929309,13914,8953,0.554115938791,4747,14846,0.680250572545,0.691844386994823,144281,144281,144281,65355,0
97,866,17878,0.951560577246,17970,29349,0.387713380354,178,9012,0.980248557479,3739,2236,0.672182468694,19730,62667,0.685161249142,13990,8951,0.562953859904,4844,15056,0.678267800213,0.691913868393314,146102,146102,146102,66444,0
98,917,18623,0.950759813134,18325,29455,0.377864539127,184,9148,0.979886313948,3836,2236,0.715563506261,20007,63148,0.683172863749,14029,8948,0.56783638802,4933,15267,0.676884784175,0.69160351826793,147800,147800,147800,67469,0
99,953,19368,0.950795125981,18644,29720,0.37267833109,190,9284,0.979534683326,3947,2236,0.765205724508,20273,63629,0.681387417687,14073,8946,0.573105298457,5025,15477,0.675324675325,0.692093868605335,149656,149656,149656,68446,0
100,992,20113,0.95067866554,19024,29874,0.363192073375,195,9421,0.979301560344,4028,2236,0.801431127013,20581,64110,0.678973639058,14100,8944,0.576475849732,5111,15688,0.674209586945,0.691461255977385,151404,151404,151404,69488,0
101,1043,20858,0.949995205676,19394,30050,0.354608985025,201,9557,0.97896829549,4110,2236,0.838103756708,20885,64592,0.676662744612,14124,8941,0.579689072811,5192,15899,0.673438581043,0.691042154948979,153173,153173,153173,70540,0
102,1105,21603,0.948849696801,19712,30265,0.348686601685,212,9693,0.978128546374,4205,2236,0.880590339893,21187,65073,0.674411814424,14131,8939,0.580825595704,5276,16109,0.672481221677,0.690854890017357,154979,154979,154979,71545,0
103,1158,22348,0.94818328262,20048,30373,0.339940078359,222,9829,0.977413775562,4316,2236,0.93023255814,21487,65554,0.672224425664,14146,8936,0.583034914951,5369,16320,0.671017156863,0.690577550277957,156679,156679,156679,72598,0
