name,lat,lon,region,country,conflict_date,population,location_type
707061972,50.6296543,3.3595598,xyz,xyz,0,0,town
708978463,50.5535527,3.514302,xyz,xyz,0,0,town
708978468,50.5363643,3.5938392,xyz,xyz,0,0,town
708978472,50.5365143,3.5941201,xyz,xyz,0,0,town
708978474,50.5515467,3.5171163,xyz,xyz,0,0,town
708978475,50.5514771,3.5166254,xyz,xyz,0,0,town
708978479,50.5532644,3.5142113,xyz,xyz,0,0,town
708978487,50.5537691,3.5100932,xyz,xyz,0,0,town
708978489,50.5538729,3.5104094,xyz,xyz,0,0,town
713361353,50.728009,3.2961657,xyz,xyz,0,0,town
720745183,50.8113108,3.2694786,xyz,xyz,0,0,town
720765279,50.809826,3.2664599,xyz,xyz,0,0,town
720771775,50.80388,3.2738247,xyz,xyz,0,0,town
734260492,50.8534447,3.2466018,xyz,xyz,0,0,town
734664811,50.510384,3.6691918,xyz,xyz,0,0,town
744718012,50.5093592,3.6674497,xyz,xyz,0,0,town
744718025,50.5081496,3.6732968,xyz,xyz,0,0,town
756357060,50.7179003,3.2956735,xyz,xyz,0,0,town
756366994,50.72186,3.2951477,xyz,xyz,0,0,town
760489499,50.8297592,3.2946583,xyz,xyz,0,0,town
760489517,50.8304189,3.2935116,xyz,xyz,0,0,town
761583974,50.6014409,3.2458316,xyz,xyz,0,0,town
761583976,50.6013576,3.2454396,xyz,xyz,0,0,town
762071027,50.7420696,3.1376662,xyz,xyz,0,0,town
762071043,50.7433443,3.1400362,xyz,xyz,0,0,town
762086284,50.7396334,3.1321535,xyz,xyz,0,0,town
762086307,50.7367486,3.1301908,xyz,xyz,0,0,town
764054016,50.8479581,3.3752108,xyz,xyz,0,0,town
766922430,50.4636825,3.7491997,xyz,xyz,0,0,town
766922463,50.4709175,3.7451131,xyz,xyz,0,0,town
766922485,50.4642525,3.7485387,xyz,xyz,0,0,town
767534642,50.4675016,3.7484107,xyz,xyz,0,0,town
773239535,50.6015431,3.2506143,xyz,xyz,0,0,town
776055422,50.5829334,3.4805818,xyz,xyz,0,0,town
776055429,50.5831677,3.4791231,xyz,xyz,0,0,town
802590663,50.8234827,3.2214438,xyz,xyz,0,0,town
802636785,50.8235217,3.2216659,xyz,xyz,0,0,town
846920182,50.607872,3.2945686,xyz,xyz,0,0,town
846920204,50.610573,3.3070513,xyz,xyz,0,0,town
846920205,50.608554,3.3037123,xyz,xyz,0,0,town
846920285,50.6129609,3.3184246,xyz,xyz,0,0,town
846920337,50.6092615,3.3004852,xyz,xyz,0,0,town
846920359,50.6186069,3.3205208,xyz,xyz,0,0,town
846920373,50.6127198,3.3177153,xyz,xyz,0,0,town
848426192,50.6518837,3.2929277,xyz,xyz,0,0,town
853129818,50.7694094,3.1883949,xyz,xyz,0,0,town
853130608,50.7712479,3.189634,xyz,xyz,0,0,town
853132064,50.7710062,3.1891774,xyz,xyz,0,0,town
853132079,50.7697182,3.1904172,xyz,xyz,0,0,town
853132826,50.7689918,3.191328,xyz,xyz,0,0,town
853133133,50.7699541,3.1908686,xyz,xyz,0,0,town
895799084,50.4674166,3.7480117,xyz,xyz,0,0,town
895799103,50.4865102,3.7080769,xyz,xyz,0,0,town
895799153,50.4887644,3.7035628,xyz,xyz,0,0,town
