osm_id,osm_type,capacity,isced_level,amenity,name,longitude,latitude,geom_type
"9702548031",nodes,,,school,Goalanda Nazir Uddin Pilot Govt. High School,89.7570757,23.71897,POINT
"9592480845",nodes,,,school,Kabi Nazrul High School,89.8446088,24.0732145,POINT
"9592480841",nodes,,,school,Salimabad Tebaria Islamia High School,89.8117304,24.0437335,POINT
"5312108179",nodes,,,school,Tarail Government Primary School,89.8748207,23.8154163,POINT
"9524629343",nodes,,,school,Shakrail High School,89.8591903,23.809631,POINT
"9523574561",nodes,,,school,Shivalaya Govt. High School,89.7867127,23.8367476,POINT
"9524642459",nodes,,,school,TEOTA ACADEMY,89.7781584,23.8581436,POINT
"9524642460",nodes,,,school,Shait Ghar Teota High School,89.7802479,23.8717001,POINT
"9592457849",nodes,,,school,Falshatia Govt. Primary School,89.8469051,23.8459392,POINT
"9592480859",nodes,,,school,Chak Mirpur High School,89.8481076,23.9616959,POINT
"9592480860",nodes,,,school,Moulvi Abdur Rahman High School,89.8627238,23.958105,POINT
"9592480858",nodes,,,school,Daulatpur Pilot Girl High School,89.8302276,23.9697149,POINT
"9705759518",nodes,,,school,A M H Girls High School,88.8008761,23.9955952,POINT
"9705759524",nodes,,,school,Pragpur High School,88.7678438,24.0076995,POINT
"9705613305",nodes,,,school,Aria United High School,88.8950712,23.9538796,POINT
"9705613306",nodes,,,school,Baragangdia Girls High School,88.8778482,23.9530439,POINT
"9705613308",nodes,,,school,Jhaudia High School,88.9094836,23.9619878,POINT
"9705613311",nodes,,,school,B T P High School,88.8652479,23.966694,POINT
"9705759523",nodes,,,school,Bagoan   K.  C. V. N. High School,88.785412,24.0209256,POINT
"9705613310",nodes,,,school,G. N. Junior High School,88.8799499,23.9679429,POINT
"9705706614",nodes,,,school,Dharmadah High School,88.7597313,23.9768767,POINT
"9705613307",nodes,,,school,Dighol Kandi Junior High School,88.9134759,23.9634455,POINT
"6604872565",nodes,,,school,ভাষানচর উচ্চ বিদ্যালয়,89.9544007,23.5227308,POINT
"9809185510",nodes,,,school,Adarsh Balika Uscha Biddalay,89.8357144,23.6026926,POINT
"8999091928",nodes,,,school,ফুলারপাড় সরকারী প্রাথমিক বিদ্যালয়,89.8298443,23.2779169,POINT
"9000226602",nodes,,,school,গোবিন্দপুর প্রাইমারি স্কুল ও মাদ্রাসা,89.8314124,23.2659285,POINT
"2426554019",nodes,,,school,Asraful Ulum Madrasa,89.8206544,23.5975431,POINT
"9702385193",nodes,,,school,Paranpur High School,89.7554186,23.6002431,POINT
"4663697198",nodes,,,school,,89.8090482,23.5884374,POINT
"7418865852",nodes,,,,Bera Fazil Madrash,89.6311623,24.0801893,POINT
"9705293762",nodes,,,,Masundia Bhawani Pur High School,89.6272249,23.8849679,POINT
"9591980470",nodes,,,school,Barat Girls High School,89.7294045,23.7489051,POINT
"9591980460",nodes,,,school,DAULATDIA AKKAS ALI HIGH SCHOOL,89.7587671,23.7491363,POINT
"9591980462",nodes,,,school,Dewan Para Rahamat Ullah Junior Secondary School,89.7546527,23.7293165,POINT
"9591980477",nodes,,,school,Bartha High School,89.6382166,23.7610406,POINT
"9591980459",nodes,,,school,MUKTIJODDHA FAKIR ABDUL JABBAR GIRLS JUNIOR SCHOOL,89.7777726,23.7586561,POINT
"9524635370",nodes,,,school,MOKSED ALI ACADEMY,89.8499757,23.7958301,POINT
"7452451741",nodes,,,school,দড়িকান্দি সরকারি প্রাথমিক বিদ্যালয়,89.9573636,23.7376893,POINT
"9524555945",nodes,,,school,Kalta Avoya Charan  High School,89.9470763,23.8005229,POINT
"9705354302",nodes,,,school,Satbaria High School,89.4402572,23.8868428,POINT
