#name,region,country,latitude,longitude,location_type,conflict_date,population,fatalities,initial_idps,first_event_date,conflict_score,original_camps
Dutse,Jigawa,Nigeria,11.6909859,9.3390747,conflict_zone,7,431800,0,43,04/10/2022,0.43,
Abuja Municipal Area Council,Enugu,Nigeria,9.0643305,7.4892974,conflict_zone,24,1693400,17,68,15/09/2022,0.68,
Ekeremor,Bayelsa,Nigeria,4.9440156,5.710206,conflict_zone,1,401300,3,40,28/10/2022,0.37,
Zurmi,Zamfara,Nigeria,12.8632427,6.7601807,conflict_zone,22,523000,53,2758,22/09/2022,0.52,
Oturkpo,Benue,Nigeria,7.1912599,8.1328576,conflict_zone,8,384600,2,654,03/08/2022,0.38,
Maiduguri,Borno,Nigeria,11.8395375,13.1536214,conflict_zone,46,791200,59,59761,03/08/2022,0.8,
Egbeda,Oyo,Nigeria,7.3926446,4.0387216,conflict_zone,1,405400,0,40,10/08/2022,0.4,
Mangu,Plateau,Nigeria,9.3622293,9.1816302,conflict_zone,19,442100,120,676,27/08/2022,0.44,
Uyo,Akwa Ibom,Nigeria,4.990237,7.9974399,conflict_zone,18,390400,6,39,06/08/2022,0.39,
Kuje,Enugu,Nigeria,8.6984415,7.3004993,conflict_zone,1,212100,0,20,29/08/2022,0.2,
Shani,Borno,Nigeria,10.151198,11.9796686,conflict_zone,2,148000,7,677,04/08/2022,0.14,
Igabi,Kaduna,Nigeria,10.7490822,7.5289498,conflict_zone,10,636400,13,1236,30/08/2022,0.64,
Katsina,Katsina,Nigeria,12.5630825,7.6207063,conflict_zone,17,568600,11,8788,03/08/2022,0.57,
Gummi,Zamfara,Nigeria,12.0443133,5.1088086,conflict_zone,5,367800,8,3113,20/08/2022,0.36,
Mashegu,Niger,Nigeria,9.8155045,5.2392304,conflict_zone,6,369100,59,37,15/12/2022,0.37,
Wukari,Taraba,Nigeria,7.8705196,9.7775523,conflict_zone,4,374800,8,8717,18/04/2023,0.37,
Gada,Sokoto,Nigeria,13.6829016,5.7011027,conflict_zone,1,429900,0,708,18/08/2022,0.43,
Ifo,Ogun,Nigeria,6.7563533,3.2416864,conflict_zone,5,917000,6,92,12/10/2022,0.92,
Aguata,Anambra,Nigeria,5.9842248,7.0906432,conflict_zone,1,527200,0,53,13/08/2022,0.53,
Kukawa,Borno,Nigeria,13.1239109,13.7775223,conflict_zone,4,297900,64,7152,06/02/2023,0.29,
Okene,Kogi,Nigeria,7.4610396,6.398817,conflict_zone,4,438900,5,44,05/08/2022,0.44,
Geidam,Yobe,Nigeria,12.8952043,11.9264702,conflict_zone,4,244900,2,4043,10/09/2022,0.24,
Bali,Taraba,Nigeria,8.0906258,10.9522619,conflict_zone,4,332000,16,2009,07/08/2022,0.33,
Rimin Gado,Kano,Nigeria,11.9243341,8.3318596,conflict_zone,1,170000,0,245,18/03/2023,0.16,
Nasarawa,Kano,Nigeria,8.4387868,8.2382849,conflict_zone,1,980900,6,751,02/12/2022,0.99,
Ogoja,Cross River,Nigeria,6.5278029,8.6878448,conflict_zone,4,261300,0,25,21/12/2022,0.25,
Fufore,Adamawa,Nigeria,9.2577101,12.7592871,conflict_zone,1,323000,1,3805,06/01/2023,0.32,
Akwanga,Nasarawa,Nigeria,9.0152703,8.3406254,conflict_zone,6,172800,0,244,23/09/2022,0.16,
Owo,Ondo,Nigeria,7.1962012,5.5868016,conflict_zone,1,341400,0,34,28/01/2023,0.34,
Bauchi,Bauchi,Nigeria,10.6228284,10.0287754,conflict_zone,15,881600,7,2806,30/08/2022,0.89,
Kankara,Katsina,Nigeria,11.9720225,7.3609374,conflict_zone,8,434700,40,10312,08/09/2022,0.43,
Nguru,Yobe,Nigeria,12.875615,10.4540091,conflict_zone,2,236900,1,2887,21/01/2023,0.23,
Nsukka,Enugu,Nigeria,6.8561,7.3927,conflict_zone,7,444100,0,44,27/10/2022,0.44,
Giwa,Kaduna,Nigeria,11.0464629,7.2339435,conflict_zone,13,432000,68,548,08/08/2022,0.43,
Augie,Kebbi,Nigeria,12.9010929,4.6290649,conflict_zone,2,198800,7,19,17/08/2022,0.19,
Bassa,Kogi,Nigeria,10.0561748,8.817865,conflict_zone,1,188300,0,966,20/08/2022,0.18,
Ohafia,Abia,Nigeria,5.6629148,7.8324886,conflict_zone,1,358200,0,35,02/03/2023,0.35,
Gwoza,Borno,Nigeria,11.0831008,13.6941974,conflict_zone,21,405200,183,38581,03/08/2022,0.41,
Shiroro,Niger,Nigeria,10.0841804,6.7189286,conflict_zone,7,404200,54,40,08/09/2022,0.4,
Magumeri,Borno,Nigeria,12.1432355,12.6629372,conflict_zone,3,205500,2,10410,03/08/2022,0.2,
Kauru,Kaduna,Nigeria,10.3557988,8.1828454,conflict_zone,1,326900,0,2298,11/06/2023,0.32,
Mariga,Niger,Nigeria,10.6073683,5.8670483,conflict_zone,4,342400,35,34,27/09/2022,0.34,
Gwagwalada,Enugu,Nigeria,9.079515,7.0441131,conflict_zone,6,346000,3,34,06/10/2022,0.34,
Sapele,Delta,Nigeria,5.8948144,5.6795885,conflict_zone,7,238800,6,23,02/09/2022,0.23,
Gboko,Benue,Nigeria,7.3778482,8.8713224,conflict_zone,10,521700,12,216,03/09/2022,0.52,
Talata Mafara,Zamfara,Nigeria,12.3990101,6.0825831,conflict_zone,3,383700,2,7732,29/11/2022,0.38,
Onicha,Ebonyi,Nigeria,6.1085424,7.8142408,conflict_zone,4,352400,2,35,17/10/2022,0.35,
Bonny,Rivers,Nigeria,4.505781,7.203466,conflict_zone,2,309200,0,30,18/03/2023,0.3,
Gombe,Gombe,Nigeria,10.4304018,11.2065408,conflict_zone,6,446800,0,4084,04/10/2022,0.44,
Bwari,Enugu,Nigeria,9.2357478,7.4718746,conflict_zone,3,500100,2,50,25/02/2023,0.5,
Birnin Kebbi,Kebbi,Nigeria,12.4573462,4.2006114,conflict_zone,6,458900,2,46,27/08/2022,0.46,
Toungo,Adamawa,Nigeria,8.11751,12.0469523,conflict_zone,1,80500,1,208,09/04/2023,0.07,
Batsari,Katsina,Nigeria,12.845422,7.2679827,conflict_zone,25,371500,45,10397,04/09/2022,0.37,
Maigatari,Jigawa,Nigeria,12.6935744,9.6103451,conflict_zone,1,304500,1,30,10/02/2023,0.3,
Sabon Birni,Sokoto,Nigeria,13.5311002,6.2175118,conflict_zone,3,358100,8,4214,03/09/2022,0.35,
Damboa,Borno,Nigeria,11.0793105,12.6688633,conflict_zone,25,341700,100,37091,17/09/2022,0.34,
Ikere,Ekiti,Nigeria,7.5135717,5.2202759,conflict_zone,1,222400,0,21,15/05/2023,0.21,
Ningi,Bauchi,Nigeria,11.0046287,9.2016788,conflict_zone,12,689300,8,758,25/08/2022,0.69,
Tudun Wada,Kano,Nigeria,11.315692,8.5239039,conflict_zone,1,376100,0,35,24/02/2023,0.37,
Mushin,Lagos,Nigeria,6.5247655,3.3516348,conflict_zone,1,935400,0,94,04/10/2022,0.94,
Awe,Nasarawa,Nigeria,8.2167306,9.1609237,conflict_zone,1,174600,2,918,06/10/2022,0.17,
Gujba,Yobe,Nigeria,11.344585,11.9202736,conflict_zone,3,204100,7,20412,25/09/2022,0.2,
Gusau,Zamfara,Nigeria,12.1658358,6.6606398,conflict_zone,34,682700,28,8274,18/08/2022,0.69,
Kwande,Benue,Nigeria,6.8549397,9.3998035,conflict_zone,4,359000,50,4952,03/03/2023,0.36,
Wase,Plateau,Nigeria,9.0070529,10.2440209,conflict_zone,1,235200,3,358,17/10/2022,0.23,
Bama,Borno,Nigeria,11.5234506,13.6912049,conflict_zone,50,395800,570,91913,02/08/2022,0.41,
Yenagoa,Bayelsa,Nigeria,4.9334651,6.2747786,conflict_zone,19,524400,7,52,11/08/2022,0.52,
Jalingo,Taraba,Nigeria,8.894985,11.360042,conflict_zone,9,220700,6,2015,20/10/2022,0.21,
Mokwa,Niger,Nigeria,9.1218968,5.3232819,conflict_zone,2,416600,0,41,16/12/2022,0.41,
Igueben,Edo,Nigeria,6.6018648,6.242448,conflict_zone,1,103800,0,9,07/01/2023,0.09,
Daura,Katsina,Nigeria,13.035917,8.319388,conflict_zone,1,401900,0,452,19/11/2022,0.4,
Odeda,Ogun,Nigeria,7.3126235,3.4564069,conflict_zone,1,186300,0,18,27/09/2022,0.18,
Oron,Akwa Ibom,Nigeria,4.8169432,8.2369999,conflict_zone,3,111300,1,10,10/09/2022,0.1,
