LGA,State,Geopolitical zone, Total killed , # of incidents with killing , Total civilians killed ,Christians,Muslims,ATR,Unknown, Security Forces , Terror Groups ,Index
Ibadan North-East,Oyo,South West,1,1, -   , -   , -   , -   , -   , -   ,1, Ibadan North-EastOyoSouth West 
Ibadan North-West,Oyo,South West,23,16,19,5,1, -   ,13, -   ,4, Ibadan North-WestOyoSouth West 
Ibadan South-East,Oyo,South West,3,2,2, -   , -   , -   ,2, -   ,1, Ibadan South-EastOyoSouth West 
Ibadan South-West,Oyo,South West,24,13,21,8, -   , -   ,13,1,2, Ibadan South-WestOyoSouth West 
Ibarapa Central,Oyo,South West,11,8,11,3, -   , -   ,8, -   , -   , Ibarapa CentralOyoSouth West 
Ibarapa East,Oyo,South West,3,2,3,1, -   , -   ,2, -   , -   , Ibarapa EastOyoSouth West 
Ibarapa North,Oyo,South West,46,14,45,22,1, -   ,22,1, -   , Ibarapa NorthOyoSouth West 
Ibeju-Lekki,Lagos,South West,18,12,14,7, -   , -   ,7,2,2, Ibeju-LekkiLagosSouth West 
Ibeno,Akwa Ibom,South South,7,2,7,7, -   , -   , -   , -   , -   , IbenoAkwa IbomSouth South 
Ibesikpo Asutan,Akwa Ibom,South South,1,1,1,1, -   , -   , -   , -   , -   , Ibesikpo AsutanAkwa IbomSouth South 
Ibi,Taraba,North East,2,1,2, -   , -   , -   ,2, -   , -   , IbiTarabaNorth East 
Ibiono Ibom,Akwa Ibom,South South,2,1,2,2, -   , -   , -   , -   , -   , Ibiono IbomAkwa IbomSouth South 
Idah,Kogi,North Central,10,6,6,3, -   , -   ,3, -   ,4, IdahKogiNorth Central 
Idanre,Ondo,South West,1,1,1,1, -   , -   , -   , -   , -   , IdanreOndoSouth West 
Ideato North,Imo,South East,28,10,12,10, -   , -   ,2,3,13, Ideato NorthImoSouth East 
Ideato South,Imo,South East,1,1,1,1, -   , -   , -   , -   , -   , Ideato SouthImoSouth East 
Idemili North,Anambra,South East,77,33,34,18, -   , -   ,16,21,22, Idemili NorthAnambraSouth East 
Idemili South,Anambra,South East,36,23,18,8, -   ,2,8,3,15, Idemili SouthAnambraSouth East 
Ido,Oyo,South West,11,3,11,10,1, -   , -   , -   , -   , IdoOyoSouth West 
Ido-Osi,Ekiti,South West,1,1, -   , -   , -   , -   , -   , -   ,1, Ido-OsiEkitiSouth West 
Ifako-Ijaiye,Lagos,South West,11,6,10,1, -   , -   ,9, -   ,1, Ifako-IjaiyeLagosSouth West 
Ife Central,Osun,South West,6,4,4,2, -   , -   ,2, -   ,2, Ife CentralOsunSouth West 
Ife North,Osun,South West,2,1,2, -   , -   , -   ,2, -   , -   , Ife NorthOsunSouth West 
Ife South,Osun,South West,2,2,1, -   , -   , -   ,1, -   ,1, Ife SouthOsunSouth West 
Ifedayo,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , IfedayoOsunSouth West 
Ifelodun,Kwara,North Central,8,8,7,3,3, -   ,1, -   ,1, IfelodunKwaraNorth Central 
Ifelodun,Osun,South West,2,2,2,1,1, -   , -   , -   , -   , IfelodunOsunSouth West 
Ifo,Ogun,South West,11,6,5,3, -   , -   ,2, -   ,6, IfoOgunSouth West 
Igabi,Kaduna,North West,463,109,278,93,102, -   ,83,60,125, IgabiKadunaNorth West 
Igalamela-Odolu,Kogi,North Central,14,6,8,3, -   , -   ,5, -   ,6, Igalamela-OdoluKogiNorth Central 
Igbo Etiti,Enugu,South East,1,1,1, -   , -   , -   ,1, -   , -   , Igbo EtitiEnuguSouth East 
Igbo Eze North,Enugu,South East,23,13,13,12, -   , -   ,1,7,3, Igbo Eze NorthEnuguSouth East 
Igbo Eze South,Enugu,South East,3,2,3,3, -   , -   , -   , -   , -   , Igbo Eze SouthEnuguSouth East 
Ihiala,Anambra,South East,87,28,27,22, -   , -   ,5,31,29, IhialaAnambraSouth East 
Ihiala ,Anambra,South East,10,1, -   , -   , -   , -   , -   , -   ,10, Ihiala AnambraSouth East 
Ihitte/Uboma,Imo,South East,5,3,3,2, -   , -   ,1,2, -   , Ihitte/UbomaImoSouth East 
Ijebu East,Ogun,South West,1,1,1, -   , -   , -   ,1, -   , -   , Ijebu EastOgunSouth West 
Ijebu North,Ogun,South West,4,4,3,1,1, -   ,1,1, -   , Ijebu NorthOgunSouth West 
Ijebu North,Oyo,South West,1,1, -   , -   , -   , -   , -   ,1, -   , Ijebu NorthOyoSouth West 
Ijebu Ode,Ogun,South West,4,4,3, -   ,1, -   ,2,1, -   , Ijebu OdeOgunSouth West 
Ijero,Ekiti,South West,1,1,1,1, -   , -   , -   , -   , -   , IjeroEkitiSouth West 
Ijumu,Kogi,North Central,2,2,2, -   , -   , -   ,2, -   , -   , IjumuKogiNorth Central 
Ika,Akwa Ibom,South South,2,1, -   , -   , -   , -   , -   ,2, -   , IkaAkwa IbomSouth South 
Ika North East,Delta,South South,10,6,3,2, -   , -   ,1, -   ,7, Ika North EastDeltaSouth South 
Ika South,Delta,South South,9,5,8,7,1, -   , -   ,1, -   , Ika SouthDeltaSouth South 
Ikara,Kaduna,North West,25,5,25,3,8, -   ,14, -   , -   , IkaraKadunaNorth West 
Ikeduru,Imo,South East,14,4,4,3, -   , -   ,1, -   ,10, IkeduruImoSouth East 
Ikeja,Lagos,South West,15,9,15,9,1, -   ,5, -   , -   , IkejaLagosSouth West 
Ikenne,Ogun,South West,13,5,9,9, -   , -   , -   , -   ,4, IkenneOgunSouth West 
Ikere,Ekiti,South West,30,11,30,12, -   , -   ,18, -   , -   , IkereEkitiSouth West 
Ikole,Ekiti,South West,7,5,5, -   , -   , -   ,5,1,1, IkoleEkitiSouth West 
Ikom,Cross River,South South,4,1,4, -   , -   , -   ,4, -   , -   , IkomCross RiverSouth South 
Ikono,Akwa Ibom,South South,2,1, -   , -   , -   , -   , -   ,2, -   , IkonoAkwa IbomSouth South 
Ikorodu,Lagos,South West,61,23,50,3, -   , -   ,47,2,9, IkoroduLagosSouth West 
Ikot Abasi,Akwa Ibom,South South,4,1,4,4, -   , -   , -   , -   , -   , Ikot AbasiAkwa IbomSouth South 
Ikot Ekpene,Akwa Ibom,South South,1,1,1, -   , -   , -   ,1, -   , -   , Ikot EkpeneAkwa IbomSouth South 
Ikpoba-Okha,Edo,South South,28,11,21,13, -   , -   ,8,1,6, Ikpoba-OkhaEdoSouth South 
Ikwerre,Rivers,South South,20,6,8,5, -   , -   ,3,12, -   , IkwerreRiversSouth South 
Ikwo,Ebonyi,South East,1,1,1, -   , -   , -   ,1, -   , -   , IkwoEbonyiSouth East 
Ikwo ,Ebonyi,South East,23,9,16,16, -   , -   , -   , -   ,7, Ikwo EbonyiSouth East 
Ikwuano,Abia,South East,10,2,10, -   , -   , -   ,10, -   , -   , IkwuanoAbiaSouth East 
Ila,Osun,South West,1,1,1, -   ,1, -   , -   , -   , -   , IlaOsunSouth West 
Ilaje,Ondo,South West,14,7,10,5, -   , -   ,5,4, -   , IlajeOndoSouth West 
Ilejemeje,Ekiti,South West,1,1,1,1, -   , -   , -   , -   , -   , IlejemejeEkitiSouth West 
Ilesa East,Osun,South West,17,7,13,11,1,1, -   , -   ,4, Ilesa EastOsunSouth West 
Ilesa West,Osun,South West,27,10,27,16,8, -   ,3, -   , -   , Ilesa WestOsunSouth West 
Ilesha West,Osun,South West,4,3,4, -   , -   , -   ,4, -   , -   , Ilesha WestOsunSouth West 
Illela,Sokoto,North West,180,19,146,51,59, -   ,36,2,32, IllelaSokotoNorth West 
Ilorin East,Kwara,North Central,30,19,21,9,4, -   ,8, -   ,9, Ilorin EastKwaraNorth Central 
Ilorin South,Kwara,North Central,2,2,2,1, -   , -   ,1, -   , -   , Ilorin SouthKwaraNorth Central 
Ilorin West,Kwara,North Central,34,20,24,7,2, -   ,15, -   ,10, Ilorin WestKwaraNorth Central 
Imeko Afon,Ogun,South West,12,6,9,3, -   , -   ,6, -   ,3, Imeko AfonOgunSouth West 
Ini,Akwa Ibom,South South,10,3,3, -   , -   , -   ,3,7, -   , IniAkwa IbomSouth South 
Ipokia,Ogun,South West,6,3,6,3, -   , -   ,3, -   , -   , IpokiaOgunSouth West 
Irele,Ondo,South West,2,1, -   , -   , -   , -   , -   ,2, -   , IreleOndoSouth West 
Irepodun,Kwara,North Central,4,1,4, -   , -   , -   ,4, -   , -   , IrepodunKwaraNorth Central 
Irepodun,Osun,South West,3,2,3, -   , -   , -   ,3, -   , -   , IrepodunOsunSouth West 
Irepodun/Ifelodun,Ekiti,South West,3,2,3,1, -   , -   ,2, -   , -   , Irepodun/IfelodunEkitiSouth West 
Irewole,Osun,South West,14,5,10,2,1, -   ,7,4, -   , IrewoleOsunSouth West 
Isa,Sokoto,North West,83,13,20,2,9, -   ,9, -   ,63, IsaSokotoNorth West 
Iseyin,Oyo,South West,8,3,1,1, -   , -   , -   ,6,1, IseyinOyoSouth West 
Ishielu,Ebonyi,South East,51,8,49,35, -   , -   ,14,2, -   , IshieluEbonyiSouth East 
Ishielu ,Ebonyi,South East,45,15,29,29, -   , -   , -   ,6,10, Ishielu EbonyiSouth East 
Isi Uzo,Enugu,South East,197,34,189,189, -   , -   , -   ,4,4, Isi UzoEnuguSouth East 
Isiala Mbano,Imo,South East,12,7,9,9, -   , -   , -   ,3, -   , Isiala MbanoImoSouth East 
Isiala Ngwa North,Abia,South East,1,1, -   , -   , -   , -   , -   ,1, -   , Isiala Ngwa NorthAbiaSouth East 
Isiala Ngwa South,Abia,South East,3,3,2, -   , -   , -   ,2,1, -   , Isiala Ngwa SouthAbiaSouth East 
Isin,Kwara,North Central,7,6,7,4,2,1, -   , -   , -   , IsinKwaraNorth Central 
Isokan,Osun,South West,16,6,15,1, -   , -   ,14, -   ,1, IsokanOsunSouth West 
Isoko North,Delta,South South,15,7,14,3,1, -   ,10, -   ,1, Isoko NorthDeltaSouth South 
Isoko South,Delta,South South,36,11,21,3, -   , -   ,18,7,8, Isoko SouthDeltaSouth South 
Isu,Imo,South East,4,3,1, -   , -   , -   ,1,2,1, IsuImoSouth East 
Isuikwuato,Abia,South East,6,6,6,6, -   , -   , -   , -   , -   , IsuikwuatoAbiaSouth East 
Itu,Akwa Ibom,South South,6,4,6,1, -   , -   ,5, -   , -   , ItuAkwa IbomSouth South 
Ivo ,Ebonyi,South East,16,7,12,12, -   , -   , -   , -   ,4, Ivo EbonyiSouth East 
Iwajowa,Oyo,South West,19,5,16,2,11, -   ,3, -   ,3, IwajowaOyoSouth West 
Iwo,Osun,South West,9,5,7,2, -   , -   ,5, -   ,2, IwoOsunSouth West 
Izzi,Ebonyi,South East,6,3,3, -   , -   , -   ,3,3, -   , IzziEbonyiSouth East 
Izzi ,Ebonyi,South East,10,6,10,9, -   , -   ,1, -   , -   , Izzi EbonyiSouth East 
Jaba,Kaduna,North West,1,1,1,1, -   , -   , -   , -   , -   , JabaKadunaNorth West 
Jada,Adamawa,North East,2,2,2, -   ,1, -   ,1, -   , -   , JadaAdamawaNorth East 
Jalingo,Taraba,North East,28,19,21,14,1, -   ,6,2,5, JalingoTarabaNorth East 
Jama'are,Bauchi,North East,1,1,1, -   ,1, -   , -   , -   , -   , Jama'areBauchiNorth East 
Jega,Kebbi,North West,4,1,4, -   , -   , -   ,4, -   , -   , JegaKebbiNorth West 
Jema'a,Kaduna,North West,122,30,118,97,6, -   ,15,4, -   , Jema'aKadunaNorth West 
Jere,Borno,North East,307,26,237,3,178, -   ,56,40,30, JereBornoNorth East 
Jibia,Katsina,North West,417,67,116,18,55, -   ,43,31,270, JibiaKatsinaNorth West 
Jos East,Plateau,North Central,22,10,19,16,2, -   ,1,1,2, Jos EastPlateauNorth Central 
Jos North,Plateau,North Central,218,62,209,119,43,1,46,1,8, Jos NorthPlateauNorth Central 
Jos South,Plateau,North Central,156,52,144,109,8, -   ,27, -   ,12, Jos SouthPlateauNorth Central 
Kabba/Bunu,Kogi,North Central,13,11,9,8, -   , -   ,1,4, -   , Kabba/BunuKogiNorth Central 
Kachia,Kaduna,North West,201,43,151,113,32, -   ,6,2,48, KachiaKadunaNorth West 
Kaduna North,Kaduna,North West,193,41,78,15,12, -   ,51,39,76, Kaduna NorthKadunaNorth West 
Kaduna South,Kaduna,North West,33,11,28,23, -   , -   ,5,3,2, Kaduna SouthKadunaNorth West 
Kafur,Katsina,North West,16,7,16,8,8, -   , -   , -   , -   , KafurKatsinaNorth West 
Kaga,Borno,North East,371,45,71,23,26, -   ,22,148,152, KagaBornoNorth East 
Kagarko,Kaduna,North West,114,24,35,19,15, -   ,1,1,78, KagarkoKadunaNorth West 
Kagoro,Kaduna,North West,8,3,8,6, -   , -   ,2, -   , -   , KagoroKadunaNorth West 
Kaiama,Kwara,North Central,2,2,2,1,1, -   , -   , -   , -   , KaiamaKwaraNorth Central 
Kaita,Katsina,North West,1,1,1, -   ,1, -   , -   , -   , -   , KaitaKatsinaNorth West 
Kajola,Oyo,South West,3,1,3, -   , -   , -   ,3, -   , -   , KajolaOyoSouth West 
Kajuru,Kaduna,North West,870,254,858,699,50,1,108,1,11, KajuruKadunaNorth West 
Kala/Balge,Borno,North East,179,16,85,11,50, -   ,24,29,65, Kala/BalgeBornoNorth East 
Kanam,Plateau,North Central,246,5,104,100, -   , -   ,4, -   ,142, KanamPlateauNorth Central 
Kankara,Katsina,North West,165,34,107,10,48,11,38,7,51, KankaraKatsinaNorth West 
Kankia,Katsina,North West,4,3,1, -   ,1, -   , -   , -   ,3, KankiaKatsinaNorth West 
Kano Municipal,Kano,North West,1,1,1, -   , -   , -   ,1, -   , -   , Kano MunicipalKanoNorth West 
Kano Municipal      ,Kano,North West,12,4,12,4,8, -   , -   , -   , -   , Kano Municipal      KanoNorth West 
Kano Municipal        ,Kano,North West,48,3,5,2,3, -   , -   ,5,38, Kano Municipal        KanoNorth West 
Karasuwa,Yobe,North East,1,1, -   , -   , -   , -   , -   ,1, -   , KarasuwaYobeNorth East 
Karim Lamido,Taraba,North East,111,9,92,48,24,5,15,9,10, Karim LamidoTarabaNorth East 
Karim Lamidu,Taraba,North East,5,2,5, -   , -   , -   ,5, -   , -   , Karim LamiduTarabaNorth East 
Karu,Nasarawa,North Central,96,9,94,83,8, -   ,3, -   ,2, KaruNasarawaNorth Central 
Katagum,Bauchi,North East,1,1, -   , -   , -   , -   , -   , -   ,1, KatagumBauchiNorth East 
Katcha,Niger,North Central,9,3,9,7,2, -   , -   , -   , -   , KatchaNigerNorth Central 
Katsina,Katsina,North West,42,13,19,9,9, -   ,1, -   ,23, KatsinaKatsinaNorth West 
Katsina-Ala,Benue,North Central,553,52,506,423, -   , -   ,83,2,45, Katsina-AlaBenueNorth Central 
Kaugama,Jigawa,North West,1,1,1, -   ,1, -   , -   , -   , -   , KaugamaJigawaNorth West 
Kaura,Kaduna,North West,366,57,362,330,10, -   ,22,4, -   , KauraKadunaNorth West 
Kaura Namoda,Zamfara,North West,242,28,151,28,99, -   ,24,5,86, Kaura NamodaZamfaraNorth West 
Kauru,Kaduna,North West,184,32,177,114,1, -   ,62,1,6, KauruKadunaNorth West 
Kazaure,Jigawa,North West,1,1,1, -   ,1, -   , -   , -   , -   , KazaureJigawaNorth West 
Keana,Nasarawa,North Central,52,12,52,34,2, -   ,16, -   , -   , KeanaNasarawaNorth Central 
Keffi,Nasarawa,North Central,6,3, -   , -   , -   , -   , -   ,4,2, KeffiNasarawaNorth Central 
Khana,Rivers,South South,30,13,29,10, -   , -   ,19, -   ,1, KhanaRiversSouth South 
Kiri Kasama,Jigawa,North West,4,2,4, -   ,3, -   ,1, -   , -   , Kiri KasamaJigawaNorth West 
Kiru        ,Kano,North West,1,1,1, -   ,1, -   , -   , -   , -   , Kiru        KanoNorth West 
Kiyawa,Zamfara,North West,20,1, -   , -   , -   , -   , -   , -   ,20, KiyawaZamfaraNorth West 
Kogi,Kogi,North Central,66,17,36,24,2, -   ,10, -   ,30, KogiKogiNorth Central 
Koko/Besse,Kebbi,North West,10,3,8,6,2, -   , -   ,2, -   , Koko/BesseKebbiNorth West 
Kokona,Nasarawa,North Central,61,6,61,44,17, -   , -   , -   , -   , KokonaNasarawaNorth Central 
Konduga,Borno,North East,987,80,231,77,75, -   ,79,169,587, KondugaBornoNorth East 
Konshisha,Benue,North Central,87,12,45,14, -   , -   ,31,21,21, KonshishaBenueNorth Central 
Kontagora,Niger,North Central,110,14,27,10,11, -   ,6,1,82, KontagoraNigerNorth Central 
Kosofe,Lagos,South West,30,17,28,7,1, -   ,20, -   ,2, KosofeLagosSouth West 
Kotonkarfe,Kogi,North Central,1,1,1,1, -   , -   , -   , -   , -   , KotonkarfeKogiNorth Central 
Kubau,Kaduna,North West,1,1, -   , -   , -   , -   , -   ,1, -   , KubauKadunaNorth West 
Kuje,Abuja FCT,North Central,28,18,23,13,5, -   ,5,3,2, KujeAbuja FCTNorth Central 
Kukawa,Borno,North East,994,70,165,12,38, -   ,115,177,652, KukawaBornoNorth East 
Kumbotso,Kano,North West,1,1, -   , -   , -   , -   , -   , -   ,1, KumbotsoKanoNorth West 
Kurfi,Katsina,North West,62,13,23, -   , -   , -   ,23, -   ,39, KurfiKatsinaNorth West 
Kurmi,Taraba,North East,22,7,15,6, -   , -   ,9,7, -   , KurmiTarabaNorth East 
Kusada,Katsina,North West,1,1,1, -   , -   , -   ,1, -   , -   , KusadaKatsinaNorth West 
Kwali,Abuja FCT,North Central,10,9,9,3,3, -   ,3, -   ,1, KwaliAbuja FCTNorth Central 
Kwande,Benue,North Central,149,23,149,130, -   ,7,12, -   , -   , KwandeBenueNorth Central 
Kware,Sokoto,North West,7,5,3, -   ,2, -   ,1, -   ,4, KwareSokotoNorth West 
Kwaya Kusar,Borno,North East,3,1, -   , -   , -   , -   , -   , -   ,3, Kwaya KusarBornoNorth East 
Lafia,Nasarawa,North Central,66,15,60,43,13, -   ,4, -   ,6, LafiaNasarawaNorth Central 
Lagos Island,Lagos,South West,37,24,29,11,3, -   ,15,1,7, Lagos IslandLagosSouth West 
Lamurde,Adamawa,North East,52,9,52,3,4, -   ,45, -   , -   , LamurdeAdamawaNorth East 
Langtang North,Plateau,North Central,30,3,30,10, -   , -   ,20, -   , -   , Langtang NorthPlateauNorth Central 
Lapai,Niger,North Central,59,26,47,21,12, -   ,14,2,10, LapaiNigerNorth Central 
Lau,Taraba,North East,41,10,41,19,6, -   ,16, -   , -   , LauTarabaNorth East 
Lavun,Niger,North Central,80,10,35,21,12, -   ,2,1,44, LavunNigerNorth Central 
Lere,Kaduna,North West,23,12,12,7,1, -   ,4, -   ,11, LereKadunaNorth West 
Logo,Benue,North Central,152,50,137,103,2,1,31,2,13, LogoBenueNorth Central 
Lokoja,Kogi,North Central,44,20,28,8,3, -   ,17,4,12, LokojaKogiNorth Central 
Madagali,Adamawa,North East,211,18,182,131, -   , -   ,51,10,19, MadagaliAdamawaNorth East 
Mafa,Borno,North East,369,50,63,18,15, -   ,30,76,230, MafaBornoNorth East 
Magama,Niger,North Central,93,13,30,20,10, -   , -   ,9,54, MagamaNigerNorth Central 
Magumeri,Borno,North East,224,35,74,2,28, -   ,44,63,87, MagumeriBornoNorth East 
Maiduguri,Borno,North East,13,1,13,13, -   , -   , -   , -   , -   , MaiduguriBornoNorth East 
Maiduguri Metropolitan Council (MMC),Borno,North East,830,98,285,81,45, -   ,159,158,387, Maiduguri Metropolitan Council (MMC)BornoNorth East 
Maigatari,Jigawa,North West,7,4,5, -   ,5, -   , -   ,2, -   , MaigatariJigawaNorth West 
Maiha,Adamawa,North East,19,7,3,1, -   , -   ,2, -   ,16, MaihaAdamawaNorth East 
Maiyama,Kebbi,North West,9,2,9,6,3, -   , -   , -   , -   , MaiyamaKebbiNorth West 
Makarfi,Kaduna,North West,21,4,10,9, -   , -   ,1,1,10, MakarfiKadunaNorth West 
Makurdi,Benue,North Central,172,65,153,102,2, -   ,49,2,17, MakurdiBenueNorth Central 
Malam Madori,Jigawa,North West,8,5,8,2,5, -   ,1, -   , -   , Malam MadoriJigawaNorth West 
Malumfashi,Katsina,North West,62,17,61,17,24, -   ,20, -   ,1, MalumfashiKatsinaNorth West 
Mangu,Plateau,North Central,384,65,349,305,33, -   ,11,2,33, ManguPlateauNorth Central 
Mani,Katsina,North West,3,1,3, -   , -   , -   ,3, -   , -   , ManiKatsinaNorth West 
Maradun,Zamfara,North West,790,48,286,48,145, -   ,93,13,491, MaradunZamfaraNorth West 
Mariga,Niger,North Central,659,45,208,107,52, -   ,49,23,428, MarigaNigerNorth Central 
Markudi,Benue,North Central,8,1,5,5, -   , -   , -   ,3, -   , MarkudiBenueNorth Central 
Marte,Borno,North East,1016,58,68,3,34, -   ,31,96,852, MarteBornoNorth East 
Maru,Zamfara,North West,1067,81,360,18,137, -   ,205,103,604, MaruZamfaraNorth West 
Mashegu,Niger,North Central,240,33,158,55,84,2,17,1,81, MasheguNigerNorth Central 
Mashi,Katsina,North West,5,1, -   , -   , -   , -   , -   ,5, -   , MashiKatsinaNorth West 
Matazu,Katsina,North West,1,1,1, -   , -   , -   ,1, -   , -   , MatazuKatsinaNorth West 
Matazuu,Katsina,North West,45,17,30,4,11, -   ,15, -   ,15, MatazuuKatsinaNorth West 
Mayo-Belwa,Adamawa,North East,2,2,2,1, -   , -   ,1, -   , -   , Mayo-BelwaAdamawaNorth East 
Mbaitoli,Imo,South East,17,10,14,9,1, -   ,4,3, -   , MbaitoliImoSouth East 
Mbo,Akwa Ibom,South South,8,4,8,2, -   , -   ,6, -   , -   , MboAkwa IbomSouth South 
Michika,Adamawa,North East,42,12,26,23, -   , -   ,3, -   ,16, MichikaAdamawaNorth East 
Mikang,Plateau,North Central,5,2,5,5, -   , -   , -   , -   , -   , MikangPlateauNorth Central 
Minjibir        ,Kano,North West,2,2,2, -   ,2, -   , -   , -   , -   , Minjibir        KanoNorth West 
Misau,Bauchi,North East,10,2,10, -   ,1, -   ,9, -   , -   , MisauBauchiNorth East 
Mkpat Enin,Akwa Ibom,South South,2,2,1,1, -   , -   , -   ,1, -   , Mkpat EninAkwa IbomSouth South 
Moba,Ekiti,South West,1,1,1,1, -   , -   , -   , -   , -   , MobaEkitiSouth West 
Mobbar,Borno,North East,371,39,56,20,22, -   ,14,63,252, MobbarBornoNorth East 
Mokwa,Niger,North Central,3,2,3,2,1, -   , -   , -   , -   , MokwaNigerNorth Central 
Monguno,Borno,North East,907,77,388,244,99, -   ,45,208,311, MongunoBornoNorth East 
Mopa-Muro,Kogi,North Central,1,1,1, -   , -   , -   ,1, -   , -   , Mopa-MuroKogiNorth Central 
Moro,Kwara,North Central,9,4,2,2, -   , -   , -   , -   ,7, MoroKwaraNorth Central 
Mubi North,Adamawa,North East,10,1, -   , -   , -   , -   , -   , -   ,10, Mubi NorthAdamawaNorth East 
Mubi South,Adamawa,North East,4,3,1,1, -   , -   , -   ,2,1, Mubi SouthAdamawaNorth East 
Munya,Niger,North Central,748,126,509,299,92,1,117,42,197, MunyaNigerNorth Central 
Musawa,Katsina,North West,10,4,4, -   , -   , -   ,4, -   ,6, MusawaKatsinaNorth West 
Mushin,Lagos,South West,27,9,27,1,1, -   ,25, -   , -   , MushinLagosSouth West 
Nasarawa,Nasarawa,North Central,21,10,20,4,2, -   ,14, -   ,1, NasarawaNasarawaNorth Central 
Nasarawa-Eggon,Nasarawa,North Central,4,4,3,1,1, -   ,1, -   ,1, Nasarawa-EggonNasarawaNorth Central 
Ndokwa East,Delta,South South,5,5,3,3, -   , -   , -   ,2, -   , Ndokwa EastDeltaSouth South 
Ndokwa West,Delta,South South,23,10,5,2, -   , -   ,3,5,13, Ndokwa WestDeltaSouth South 
Nembe,Bayelsa,South South,10,4,10,10, -   , -   , -   , -   , -   , NembeBayelsaSouth South 
Ngala,Borno,North East,676,67,188,66,106, -   ,16,90,398, NgalaBornoNorth East 
Nganzai,Borno,North East,247,30,90,30,45, -   ,15,88,69, NganzaiBornoNorth East 
Ngaski,Kebbi,North West,30,3,1, -   ,1, -   , -   ,28,1, NgaskiKebbiNorth West 
Ngor Okpala,Imo,South East,23,12,10,3, -   , -   ,7,8,5, Ngor OkpalaImoSouth East 
Nguru,Yobe,North East,2,1,2, -   , -   , -   ,2, -   , -   , NguruYobeNorth East 
Ningi,Bauchi,North East,50,14,21,9,11, -   ,1,1,28, NingiBauchiNorth East 
Njaba,Imo,South East,25,12,15,10, -   , -   ,5,2,8, NjabaImoSouth East 
Njikoka,Anambra,South East,17,6,12,7, -   , -   ,5,5, -   , NjikokaAnambraSouth East 
Nkanu East,Enugu,South East,30,20,27,21,1, -   ,5,2,1, Nkanu EastEnuguSouth East 
Nkanu West,Enugu,South East,9,5,3,3, -   , -   , -   ,6, -   , Nkanu WestEnuguSouth East 
Nkwere,Imo,South East,3,2,2,2, -   , -   , -   , -   ,1, NkwereImoSouth East 
Nkwerre,Imo,South East,6,4,6,6, -   , -   , -   , -   , -   , NkwerreImoSouth East 
Nnewi North,Anambra,South East,17,8,9,7, -   , -   ,2,8, -   , Nnewi NorthAnambraSouth East 
Nnewi South,Anambra,South East,35,13,14,14, -   , -   , -   ,6,15, Nnewi SouthAnambraSouth East 
Nsukka,Enugu,South East,16,10,12,10, -   , -   ,2,2,2, NsukkaEnuguSouth East 
Numan,Adamawa,North East,9,6,6,3, -   , -   ,3,3, -   , NumanAdamawaNorth East 
Obafemi Owode,Ogun,South West,28,14,21,11,1,1,8,3,4, Obafemi OwodeOgunSouth West 
Obi,Nasarawa,North Central,18,4,18,3,1, -   ,14, -   , -   , ObiNasarawaNorth Central 
Obi,Benue,North Central,16,3,16,6, -   , -   ,10, -   , -   , ObiBenueNorth Central 
Obi Ngwa,Abia,South East,4,4,4,1, -   , -   ,3, -   , -   , Obi NgwaAbiaSouth East 
Obio/Akpor,Rivers,South South,29,18,18,8, -   , -   ,10,8,3, Obio/AkporRiversSouth South 
Obokun,Osun,South West,4,3,3, -   , -   , -   ,3,1, -   , ObokunOsunSouth West 
Obowo,Imo,South East,12,5,5,3, -   , -   ,2,2,5, ObowoImoSouth East 
Obua,Rivers,South South,5,1, -   , -   , -   , -   , -   ,5, -   , ObuaRiversSouth South 
Obubra,Cross River,South South,29,5,21,21, -   , -   , -   ,6,2, ObubraCross RiverSouth South 
Obudu,Cross River,South South,11,6,2, -   , -   ,1,1,3,6, ObuduCross RiverSouth South 
Odeda,Ogun,South West,11,6,10,5, -   , -   ,5, -   ,1, OdedaOgunSouth West 
Odigbo,Ondo,South West,11,6,9,7, -   ,2, -   ,2, -   , OdigboOndoSouth West 
Odo Otin,Osun,South West,1,1,1, -   , -   , -   ,1, -   , -   , Odo OtinOsunSouth West 
Odo-Otin,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , Odo-OtinOsunSouth West 
Odogbolu,Ogun,South West,3,2,3,1, -   , -   ,2, -   , -   , OdogboluOgunSouth West 
Odukpani,Cross River,South South,7,2,5,5, -   , -   , -   , -   ,2, OdukpaniCross RiverSouth South 
Odundun,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , OdundunOsunSouth West 
Offa,Kwara,North Central,5,3,2, -   ,1, -   ,1, -   ,3, OffaKwaraNorth Central 
Ofu,Kogi,North Central,13,8,10,2,2,1,5,1,2, OfuKogiNorth Central 
Ogba/Egbema/Ndoni,Rivers,South South,2,1,2,2, -   , -   , -   , -   , -   , Ogba/Egbema/NdoniRiversSouth South 
Ogbadibo,Benue,North Central,9,6,7,4, -   , -   ,3, -   ,2, OgbadiboBenueNorth Central 
Ogbaru,Anambra,South East,41,11,37,28, -   , -   ,9,3,1, OgbaruAnambraSouth East 
Ogbia,Bayelsa,South South,14,8,11,10, -   , -   ,1,3, -   , OgbiaBayelsaSouth South 
Ogbomosho North,Oyo,South West,7,5,7,4, -   , -   ,3, -   , -   , Ogbomosho NorthOyoSouth West 
