Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
57,0,0.0,0.0,6164,16984,0.637070183702,41,299,0.862876254181,950,2669,0.644061446235,10244,39581,0.741188954296,7262,6528,0.11243872549,2421,7713,0.686114352392,0.6520444083401029,73774,73860,73860,27082,0
58,0,0.0,0.0,6509,17155,0.620577091227,47,398,0.881909547739,996,2716,0.633284241532,10450,40275,0.740533829919,7407,6607,0.121083699107,2470,7942,0.688995215311,0.6492259403096239,75093,75188,75188,27879,0
59,0,0.0,0.0,6749,17400,0.612126436782,50,406,0.87684729064,1050,2656,0.604668674699,10666,40970,0.739663168172,7558,6686,0.130421776847,2526,8171,0.690857912128,0.6466356215989953,76289,76448,76448,28599,0
60,0,0.0,0.0,7025,17547,0.599646663247,51,414,0.876811594203,1110,2596,0.572419106317,10890,41664,0.738623271889,7722,6765,0.141463414634,2576,8400,0.693333333333,0.64369979757868,77386,77561,77561,29374,0
61,0,0.0,0.0,7245,17917,0.595635430039,52,422,0.876777251185,1174,2536,0.537066246057,11089,42359,0.738213838854,7902,6843,0.154756685664,2634,8629,0.694750260749,0.6425006966081516,78706,78954,78954,30096,0
62,0,0.0,0.0,7506,18059,0.584362367794,55,430,0.872093023256,1219,2476,0.507673667205,11294,43053,0.73767217151,8061,6922,0.16454781855,2678,8858,0.697674418605,0.6403552601993654,79798,80054,80054,30813,0
63,0,0.0,0.0,7780,18304,0.574956293706,60,437,0.862700228833,1279,2416,0.470612582781,11539,43748,0.736239370943,8224,7001,0.174689330096,2734,9088,0.699163732394,0.6377710502350538,80994,81258,81258,31616,0
64,0,0.0,0.0,8031,18607,0.568388240985,65,445,0.85393258427,1333,2356,0.434210526316,11758,44442,0.735430448675,8374,7080,0.182768361582,2781,9317,0.70151336267,0.6361322846859511,82247,82519,82519,32342,0
65,0,0.0,0.0,8297,18741,0.557280828131,70,453,0.845474613687,1386,2296,0.396341463415,11963,45136,0.734956575682,8543,7159,0.193323089817,2827,9546,0.703855017809,0.6340509508432006,83331,83610,83610,33086,0
66,0,0.0,0.0,8541,19203,0.555225745977,74,461,0.839479392625,1452,2236,0.350626118068,12168,45831,0.734502847418,8719,7238,0.204614534402,2888,9775,0.704552429668,0.6334258431723035,84744,85036,85036,33842,0
67,0,0.0,0.0,8780,19507,0.549905162249,76,636,0.880503144654,1522,2236,0.319320214669,12384,46525,0.733820526599,8883,7317,0.214022140221,2939,10004,0.706217512995,0.6329943372240842,86225,86530,86530,34584,0
68,0,0.0,0.0,9052,19871,0.544461778471,81,811,0.900123304562,1582,2236,0.292486583184,12612,47220,0.73290978399,9066,7396,0.225797728502,2990,10233,0.707808071924,0.6325515926169774,87767,88094,88094,35383,0
69,0,0.0,0.0,9302,20002,0.534946505349,87,985,0.911675126904,1646,2236,0.263864042934,12812,47914,0.73260424928,9235,7475,0.235451505017,3029,10463,0.710503679633,0.6316425120772947,89075,89424,89424,36111,0
70,0,0.0,0.0,9529,20363,0.532043412071,95,1160,0.918103448276,1703,2236,0.238372093023,12997,48608,0.732616030283,9381,7553,0.242023037204,3090,10692,0.710998877666,0.6316963795036381,90612,90982,90982,36795,0
71,0,0.0,0.0,9782,20649,0.526272458715,102,1263,0.919239904988,1764,2236,0.211091234347,13182,49303,0.732632902663,9539,7632,0.249868972746,3131,10921,0.713304642432,0.6311745097190354,92004,92396,92396,37500,0
72,0,0.0,0.0,10028,20833,0.518648298373,110,1366,0.919472913616,1810,2236,0.190518783542,13370,49997,0.732583955037,9697,7711,0.257554143431,3177,11150,0.715067264574,0.6304078714276568,93293,93706,93706,38192,0
73,79,0.0,0.0,10295,21111,0.512339538629,119,1469,0.918992511913,1882,2236,0.15831842576,13616,50692,0.731397459165,9868,7790,0.26675224647,3244,11379,0.714913437033,0.6296576667507781,94677,95112,95112,39103,0
74,179,744,0.759408602151,10569,21383,0.505728850021,124,1572,0.921119592875,1949,2236,0.128354203936,13833,51386,0.730802164014,10027,7869,0.27424069132,3295,11608,0.716144038594,0.6286360598426816,96798,97255,97255,39976,0
75,278,1489,0.813297515111,10894,21731,0.498688509503,134,1675,0.92,2010,2236,0.101073345259,14063,52081,0.729978303028,10185,7948,0.281454453951,3348,11838,0.717181956412,0.6288954119586634,98998,99476,99476,40912,0
76,352,2234,0.842435094002,11143,22191,0.497859492587,141,1778,0.920697412823,2063,2236,0.0773703041145,14305,52562,0.727845211369,10357,8027,0.290270337611,3402,11939,0.715051511852,0.629406605103137,100967,101467,101467,41763,0
77,445,2979,0.850621013763,11450,22465,0.490318272869,146,1881,0.922381711855,2125,2236,0.0496422182469,14528,53043,0.726109005901,10511,8106,0.296693807057,3451,12041,0.713395897351,0.6284859400418312,102751,103272,103272,42656,0
78,548,3724,0.852846401719,11741,22785,0.484704849682,153,2030,0.924630541872,2186,2236,0.0223613595707,14789,53524,0.723694043793,10693,8185,0.306414172266,3510,12143,0.710944577123,0.6277740800608539,104627,105170,105170,43620,0
79,636,4469,0.857686283285,12036,23204,0.481296328219,166,2179,0.923818265259,2247,2236,0.00491949910555,15018,54005,0.721914637534,10871,8263,0.315623865424,3579,12245,0.707717435688,0.6278670473844317,106601,107166,107166,44553,0
80,734,5214,0.859225163023,12340,23550,0.476008492569,174,2328,0.925257731959,2298,2236,0.0277280858676,15267,54486,0.719799581544,11054,8342,0.32510189403,3629,12347,0.706082449178,0.6284318308903739,108503,109089,109089,45496,0
81,818,5959,0.862728645746,12649,23768,0.467813867385,180,2478,0.927360774818,2383,2236,0.0657423971377,15521,54968,0.717635715325,11228,8421,0.333333333333,3701,12449,0.702707044743,0.6286309486233733,110279,110887,110887,46480,0
82,916,6704,0.863365155131,12973,24267,0.465405694977,186,2627,0.929196802436,2460,2236,0.100178890877,15730,55449,0.716315893884,11403,8500,0.341529411765,3738,12550,0.702151394422,0.6301322568651405,112333,112962,112962,47406,0
83,1019,7449,0.863203114512,13317,24627,0.459252040443,193,2776,0.930475504323,2532,2236,0.132379248658,16014,55930,0.71367781155,11589,8579,0.35085674321,3801,12652,0.699573190009,0.6300783289817232,114249,114900,114900,48465,0
84,1111,8194,0.864412985111,13621,24993,0.455007402073,197,2925,0.93264957265,2600,2236,0.162790697674,16267,56411,0.71163425573,11776,8658,0.360129360129,3872,12754,0.696408969735,0.630683909177272,116171,116843,116843,49444,0
85,1216,8939,0.863966886676,13986,25505,0.451636933935,209,3074,0.932010409889,2686,2236,0.201252236136,16509,56892,0.70981860367,11959,8737,0.368776467895,3923,12856,0.694850653391,0.6314059176174821,118239,118933,118933,50488,0
86,1313,9684,0.864415530772,14336,25885,0.44616573305,217,3224,0.932692307692,2765,2236,0.236583184258,16751,57374,0.708038484331,12138,8816,0.376814882033,3980,12958,0.692853835468,0.6317900953735949,120177,120893,120893,51500,0
87,1418,10429,0.864032984946,14694,26276,0.440782463084,228,3373,0.932404387785,2840,2236,0.270125223614,16999,57855,0.706179241206,12318,8895,0.384822934233,4030,13060,0.691424196018,0.6320231806675837,122124,122861,122861,52527,0
88,1531,11174,0.862985502058,15021,26546,0.434152037972,242,4120,0.941262135922,2915,2236,0.30366726297,17256,58336,0.704196379594,12544,8973,0.397971692856,4097,13161,0.688701466454,0.6339731056222816,124546,125305,125305,53606,0
89,1647,11918,0.861805672093,15367,26885,0.428417333085,248,4867,0.949044585987,3006,2236,0.344364937388,17516,58817,0.702194943639,12741,8971,0.420243005239,4154,13372,0.689350882441,0.6372276019586064,127066,127846,127846,54679,0
90,1754,12663,0.861486219695,15729,27189,0.421493986539,254,5614,0.954755967225,3074,2236,0.374776386404,17781,59298,0.700141657391,12926,8968,0.441347011597,4225,13582,0.688926520395,0.639798392046152,129550,130352,130352,55743,0
91,1851,13408,0.861948090692,16104,27570,0.415886833515,261,6362,0.958975165042,3179,2236,0.421735241503,18052,59780,0.698026095684,13140,8966,0.465536471113,4286,13793,0.68926266947,0.6429715884729086,132115,132939,132939,56873,0
92,1974,14153,0.860524270473,16459,27918,0.410452038112,271,7109,0.96187930792,3260,2236,0.457960644007,18327,60261,0.695872952656,13307,8963,0.484659154301,4359,14004,0.688731790917,0.6452405730354493,134644,135489,135489,57957,0
93,2099,14898,0.859108605182,16844,28169,0.402037701019,282,7856,0.964103869654,3346,2236,0.496422182469,18620,60742,0.69345757466,13477,8961,0.503961611427,4428,14214,0.688476150274,0.6468758835171049,137076,137943,137943,59096,0
94,2222,15643,0.857955635108,17219,28517,0.396184731914,288,8603,0.966523305824,3420,2236,0.529516994633,18884,61223,0.69155382781,13604,8958,0.518642554142,4504,14425,0.687764298094,0.6486017096937214,139605,140493,140493,60141,0
95,2341,16388,0.857151574323,17621,28773,0.387585583707,300,8739,0.96567112942,3518,2236,0.573345259392,19158,61704,0.689517697394,13723,8956,0.532268870031,4565,14635,0.688076528869,0.6484639000709563,141431,142341,142341,61226,0
96,2444,17133,0.857351310337,17982,29119,0.382465057179,310,8876,0.965074357819,3589,2236,0.605098389982,19461,62186,0.687051747982,13832,8953,0.544956997654,4641,14846,0.687390542907,0.6484152452505874,143349,144281,144281,62259,0
97,2569,17878,0.856303837118,18323,29349,0.375685713312,319,9012,0.964602751886,3690,2236,0.650268336315,19753,62667,0.684794229818,13911,8951,0.554128030388,4723,15056,0.686304463337,0.6481020109238751,145149,146102,146102,63288,0
98,2688,18623,0.855662353004,18672,29455,0.366083856731,333,9148,0.963598600787,3769,2236,0.685599284436,20045,63148,0.682571102806,13966,8948,0.560795708538,4800,15267,0.685596384358,0.6471853856562922,146825,147800,147800,64273,0
99,2810,19368,0.854915324246,19022,29720,0.359959623149,340,9284,0.963377854373,3867,2236,0.729427549195,20338,63629,0.680365870908,14018,8946,0.566957299352,4870,15477,0.685339536086,0.6468233816218528,148660,149656,149656,65265,0
100,2933,20113,0.854173917367,19396,29874,0.350739773716,354,9421,0.962424371086,3958,2236,0.770125223614,20627,64110,0.67825612229,14054,8944,0.57133273703,4971,15688,0.683133605303,0.6456698634117989,150386,151404,151404,66293,0
101,3046,20858,0.853964905552,19742,30050,0.34302828619,368,9557,0.961494192738,4040,2236,0.806797853309,20919,64592,0.676136363636,14086,8941,0.575438988927,5030,15899,0.683627901126,0.645022295052,152133,153173,153173,67231,0
102,3183,21603,0.852659352868,20069,30265,0.336890797951,383,9693,0.960486949345,4144,2236,0.853309481216,21248,65073,0.673474405667,14111,8939,0.578588208972,5121,16109,0.68210317214,0.6440808109485802,153918,154979,154979,68259,0
103,3315,22348,0.851664578486,20391,30373,0.328647153722,393,9829,0.96001627836,4237,2236,0.894901610018,21566,65554,0.671019312323,14138,8936,0.582139659803,5224,16320,0.679901960784,0.6429578948040261,155596,156679,156679,69264,0
104,3468,23092,0.849818118829,20697,30503,0.321476576074,408,9966,0.959060806743,4323,2236,0.933363148479,21848,66035,0.669145150299,14148,8934,0.583613163197,5315,16530,0.678463399879,0.6419886363636363,157296,158400,158400,70207,0
105,3617,23837,0.848261106683,21024,30984,0.321456235476,420,10102,0.958424074441,4404,2236,0.969588550984,22146,66516,0.667057550063,14157,8931,0.585152838428,5397,16741,0.677617824503,0.6416655761405345,159347,160473,160473,71165,0
106,3749,24582,0.847490033358,21372,31198,0.314956086929,434,10238,0.95760890799,4499,2236,1.01207513417,22434,66998,0.665154183707,14168,8929,0.586739836488,5489,16951,0.676184295912,0.6408121764850875,161132,162280,162280,72145,0
107,3895,25327,0.846211552888,21673,31542,0.312884408091,445,10374,0.95710429921,4583,2236,1.04964221825,22724,67152,0.661603526328,14170,8926,0.587497199193,5584,17063,0.672742190705,0.6393455633222429,162620,163805,163805,73074,0
108,4045,26072,0.844852715557,21971,31612,0.304979121852,461,10511,0.956141185425,4666,2236,1.08676207513,23033,67306,0.657786824354,14178,8924,0.588749439713,5673,17175,0.669694323144,0.6372085133194797,163836,165059,165059,74027,0
109,4188,26817,0.843830406086,22269,31472,0.292418657855,471,10647,0.955762186531,4753,2236,1.12567084079,23349,67460,0.653883782983,14177,8921,0.589171617532,5775,17286,0.665914612982,0.6345755568934377,164839,166100,166100,74982,0
110,4347,27562,0.842282853204,22572,32055,0.295835283107,485,10783,0.955021793564,4857,2236,1.17218246869,23682,67614,0.649747093797,14184,8919,0.590312815338,5857,17398,0.663352109438,0.6335708243479918,166567,167866,167866,75984,0
111,4499,28307,0.841064047762,22882,32193,0.289224365545,495,10919,0.954666178221,4967,2236,1.22137745975,23958,67768,0.646470310471,14191,8916,0.591633019291,5930,17510,0.661336379212,0.632079486482333,167849,169186,169186,76922,0
112,4650,29052,0.839942172656,23147,32251,0.282285820595,508,11056,0.954052098408,5068,2236,1.26654740608,24271,67922,0.642663643591,14202,8914,0.593224141799,6010,17622,0.658949040972,0.6303952402187434,169053,170428,170428,77856,0
113,4790,29797,0.839245561634,23440,32318,0.274707593292,524,11192,0.95318084346,5169,2236,1.31171735242,24600,68076,0.638639167989,14205,8911,0.594097183257,6101,17733,0.655952179552,0.6284396188168411,170263,171676,171676,78829,0
114,4959,30542,0.837633422828,23733,32385,0.267160722557,539,11328,0.952418785311,5272,2236,1.35778175313,24900,68230,0.635057892423,14192,8909,0.592995846896,6179,17845,0.65374054357,0.626504979008362,171475,172926,172926,79774,0
115,5120,31287,0.836353757152,24012,32453,0.260099220411,554,11464,0.951674808095,5376,2236,1.40429338104,25206,68384,0.631405007019,14187,8906,0.592971030766,6268,17957,0.65094392159,0.6246899687672239,172687,174176,174176,80723,0
116,5284,32032,0.83503996004,24253,32520,0.254212792128,567,11464,0.950540823447,5492,2236,1.45617173524,25533,68538,0.627462137792,14191,8904,0.593778077269,6349,18068,0.648605268984,0.6228514053933789,173762,175289,175289,81669,0
117,5450,32777,0.833724868048,24529,32587,0.247276521312,579,11464,0.949494068388,5592,2236,1.50089445438,25830,68692,0.623973679613,14180,8901,0.593079429278,6431,18180,0.646259625963,0.6208319633564245,174837,176402,176402,82591,0
118,5607,33522,0.83273671022,24804,32654,0.240399338519,590,11464,0.948534542917,5713,2236,1.55500894454,26130,68846,0.620457252418,14181,8899,0.59354983706,6513,18292,0.643942707194,0.6190596903941054,175913,177516,177516,83538,0
119,5778,34266,0.831378042374,25051,32721,0.234406038935,601,11464,0.947575017446,5802,2236,1.59481216458,26416,69000,0.61715942029,14185,8896,0.594536870504,6588,18403,0.642014888877,0.6173478813393272,176986,178627,178627,84421,0
