,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
69,69,-1,0.0,-401,-1.0750670241286864,0,0.0,0,0.0,-553,0.026924387750133838,-7,0.004093567251461816,-274,0.082356477306883,-1154,0.02408481863338474,-662,0.0803398058252427,-127,0.011893613036149109,0.02559791336588324,-3179,0
70,70,-1,0.0,-424,-1.070707070707071,0,0.0,0,0.0,-595,0.028455284552845517,-11,0.005461767626613656,-279,0.08385933273219115,-1149,0.023638084265964476,-692,0.08310315840038429,-135,0.012371700879765357,0.02577941456600419,-3286,0
71,71,-1,0.0,-419,-1.0,-2,0.0,0,0.0,-604,0.028486534924303197,-13,0.005930656934306833,-312,0.09377817853922443,-1151,0.02334543536904443,-740,0.0879486570002377,-144,0.012919432980441403,0.026478063414024477,-3386,0
72,72,-1,0.0,-429,-0.9705882352941175,-3,0.0,0,0.0,-585,0.027346671652954346,-14,0.005904681568958292,-319,0.09588217613465577,-1152,0.02304138248294907,-721,0.08481355134690038,-152,0.013356766256590547,0.02576737501283244,-3376,0
73,73,-3,0.0,-450,-0.9677419354838708,-4,0.0,0,0.0,-614,0.028323646092813015,-18,0.007061592781482884,-337,0.10129245566576506,-1167,0.02302138404481968,-727,0.08465300419189571,-158,0.013604270707766486,0.025921769635942726,-3478,0
74,74,-5,0.006321112515802807,-464,-0.9508196721311475,-5,0.0,0,0.0,-618,0.028145921573985655,-20,0.007331378299120228,-350,0.10519987977156586,-1175,0.022866150313314848,-767,0.08311239193083565,-163,0.013757596218771151,0.025523715415019632,-3567,0
75,75,-5,0.0031585596967783625,-494,-0.9667318982387476,-4,0.0,0,0.0,-645,0.02890561979026618,-23,0.007914659325533147,-352,0.10580102194168906,-1184,0.022733818475067724,-752,0.06687970782926267,-191,0.015808640953484443,0.024023328119266885,-3650,0
76,76,-7,0.0029473684210525875,-513,-0.9606741573033706,-6,0.0,0,0.0,-605,0.026550226006055944,-28,0.009076175040518608,-357,0.1073038773669972,-1215,0.0231155587686922,-769,0.052548310543564236,-193,0.01583914649158802,0.022241353212745008,-3693,0
77,77,-8,0.0025268477574226234,-530,-0.9515260323159784,-5,0.0,0,0.0,-603,0.026140107508236587,-29,0.008884803921568762,-374,0.11241358581304484,-1242,0.023414965216899453,-790,0.034691136974037695,-199,0.01619334364065428,0.020715281003251373,-3780,0
78,78,-8,0.002021222839817982,-543,-0.9362068965517243,-4,0.0,0,0.0,-588,0.025131427106039328,-28,0.007950028392958552,-396,0.1190261496844004,-1251,0.02337269262386943,-803,0.01872991244597133,-188,0.015169853949810408,0.018965768655900272,-3809,0
79,79,-7,0.0014736842105264047,-569,-0.9436152570480929,-5,0.0,0,0.0,-620,0.02602090065891627,-33,0.008727849775191587,-401,0.12052900510970854,-1291,0.023905193963521865,-822,0.005049396267837618,-194,0.015523725694166601,0.018033958891867763,-3942,0
80,80,-8,0.0014437827107022239,-584,-0.931419457735247,-6,0.0,0,0.0,-597,0.024687784302373728,-37,0.009158415841584056,-417,0.1253381424706944,-1311,0.024061226737143504,-803,-0.008807219745569195,-202,0.016030473771922904,0.01667529232199716,-3965,0
81,81,-7,0.001105321332701692,-593,-0.9123076923076925,-7,0.0,0,0.0,-633,0.025936245185610107,-43,0.010002326122353966,-419,0.1259392846408176,-1277,0.02323169844273021,-802,-0.025204653166738478,-198,0.015584415584415479,0.015029489876866808,-3979,0
82,82,-6,0.0008421052631578663,-606,-0.900445765230312,-9,0.0,0,0.0,-625,0.025082269845091876,-46,0.010092145677928932,-407,0.12233243162007817,-1270,0.022903929737236095,-808,-0.039483512965531875,-219,0.01709735342337415,0.01343144717922684,-3996,0
83,83,-8,0.001010611419908991,-612,-0.8793103448275861,-9,0.0,0,0.0,-610,0.024122113255298783,-46,0.009551495016611233,-422,0.1268409978960024,-1294,0.023136062935812607,-801,-0.05529710298160295,-226,0.017501742430109157,0.012148507611513648,-4028,0
84,84,-8,0.0009186954524575963,-633,-0.8803894297635604,-10,0.0,0,0.0,-643,0.025054551122194568,-53,0.010443349753694653,-445,0.13375413285241955,-1316,0.023328783393309793,-798,-0.06851754845468838,-244,0.018744718445110276,0.011529730700765906,-4150,0
