mali total error,burundi total error,car total error
,,0.204116052
,,0.203966075
,,0.204086394
,,0.203996426
,,0.203906572
,,0.203777609
,,0.205200068
,,0.205231034
,,0.205123749
,,0.20481966
,,0.20467769
,,0.203946242
,,0.203236165
,,0.202729798
,,0.20555671
,,0.205056557
,,0.204332382
,,0.203854136
,,0.203284964
,,0.203745939
,,0.203254517
,,0.202546559
,,0.201904133
,,0.201541177
,,0.201008392
,,0.200430913
,,0.200107136
,,0.199478417
,,0.208567926
,,0.20833935
,,0.207819927
,,0.20724351
,,0.206903897
,,0.207526608
,,0.206979746
,,0.206590919
,,0.205998657
,,0.205435683
,,0.204886799
,,0.204502511
,,0.203968637
,,0.203686636
,,0.203311425
,,0.202730698
,,0.20249558
,,0.201963208
,,0.201376354
,,0.202212465
,,0.201679951
,,0.201134013
,,0.200688059
,,0.200175228
,,0.199701531
,,0.199280236
,,0.198768972
,,0.198590041
,,0.198185122
,,0.197625352
,,0.197231502
,,0.196727957
,,0.197218953
,,0.196517938
,,0.196037723
,,0.195340339
,,0.194719351
,,0.194121681
,,0.193486168
,,0.19273935
,,0.192147826
,,0.191546036
,,0.217000993
,,0.216569193
,,0.215956638
,,0.215392604
,,0.21471047
,,0.214113938
,,0.213669072
,,0.213132639
,,0.212496196
,,0.212701179
,,0.212114058
,,0.211619823
,,0.211099209
,,0.210665102
,,0.210116447
,,0.210370836
,,0.210074434
,,0.209608348
,,0.209135359
,,0.208710483
,,0.208281653
,,0.207766413
,,0.20739049
,,0.206916977
,,0.206926059
,,0.206576227
,,0.2060917
,,0.205872455
,,0.205317509
,,0.204828799
,,0.204488291
,,0.204772303
,,0.204442937
,,0.203875041
,,0.20333948
,,0.20295086
,,0.202346241
,,0.201770356
,,0.201229897
,,0.20082665
,,0.200829568
,,0.200218459
,,0.199744229
,,0.199199615
,,0.198673615
,,0.198119115
,,0.197392102
,,0.196653359
,,0.19669506
,,0.195930977
,,0.195561696
,,0.19484125
,,0.194131793
,,0.193571529
,,0.192893095
,,0.192315858
,,0.191613922
,,0.191498385
,,0.190847416
,,0.190201459
,,0.189487535
,,0.188757627
,,0.188022277
,,0.187549075
,,0.186910841
,,0.186330026
,,0.186201425
,,0.18552589
,,0.184956312
,,0.184249725
,,0.183761717
,,0.183123508
,,0.182538182
,,0.182024419
,,0.181414701
,,0.181354748
,,0.180999328
,,0.180340766
,,0.179931524
,,0.17934424
,,0.178734124
,,0.178274345
,,0.177740241
,,0.177205635
,,0.177137644
,,0.176642238
,,0.176198412
,,0.175596353
,,0.175195408
,,0.174501445
,,0.173781831
,,0.173246146
,,0.172728483
,,0.172022684
,,0.171320252
,,0.170503887
,,0.169863546
,,0.169598611
,,0.168809963
,,0.168293086
,,0.167652646
,,0.167040303
,,0.167106792
,,0.166446234
,,0.165779922
,,0.16529833
,,0.164631497
,,0.164180443
,,0.200728437
,,0.20034034
,,0.200213809
,,0.199605937
,,0.198942046
,,0.198469861
,,0.197860029
,,0.197434773
,,0.197109625
,,0.19655296
,,0.195985551
,,0.196195847
,,0.195651251
,,0.195150638
,,0.194572823
,,0.194056405
,,0.193347345
,,0.192870774
,,0.19245411
