#name1,#name2,distance,forced_redirection
Obi,Oju,28.67,0
Obi,Oturkpo,30.33,0
Ogbadibo,Udenu,31.78,0
Ogbadibo,Igbo-Eze North,38.69,0
Ogbadibo,Olamaboro,37.43,0
Ohimini,Oturkpo,29.89,0
Ohimini,Okpokwu,31.8,0
Ohimini,Apa,58.85,0
Oju,Yala,49.09,0
Oju,Izzi,58.35,0
Okpokwu,Oturkpo,41.54,0
Okpokwu,Ogbadibo,35.23,0
Tarka,Camp(14),94.77,0
Ukum,Wukari,48.24,0
Ushongo,Vandeikya,47.61,0
Vandeikya,Bekwara,17.04,0
Vandeikya,Obudu,46.0,0
Abadam,Guzamala,72.66,0
Abadam,Kukawa,73.62,0
Abadam,Mobbar,118.11,0
Askira/Uba,Chibok,39.2,0
Bama,Camp(8),13.75,0
Bama,Camp(4),52.11,0
Bama,Mafa,118.54,0
Bayo,Kwaya Kusar,22.58,0
Bayo,Yamaltu/Deba,49.21,0
Bayo,Shani,73.97,0
Biu,Hawul,24.95,0
Biu,Kwaya Kusar,45.44,0
Biu,Gombi,113.31,0
Chibok,Damboa,48.79,0
Chibok,Camp(5),71.1,0
Damboa,Camp(5),48.74,0
Damboa,Kaga,89.92,0
Dikwa,Camp(3),32.73,0
Dikwa,Camp(4),37.29,0
Dikwa,Kala/Balge,54.2,0
Gubio,Mobbar,93.2,0
Gubio,Nganzai,53.76,0
Gubio,Guzamala,66.07,0
Guzamala,Camp(7),71.48,0
Guzamala,Nganzai,70.93,0
Guzamala,Monguno,65.69,0
Gwoza,Camp(8),48.89,0
Gwoza,Bama,56.7,0
Hawul,Shani,78.65,0
Jere,Camp(2),11.7,0
Jere,Maiduguri,12.78,0
Jere,Konduga,41.56,0
Kaga,Camp(5),47.4,0
Kaga,Magumeri,75.93,0
Kala/Balge,Camp(4),81.76,0
Kala/Balge,Camp(3),84.01,0
Konduga,Maiduguri,29.63,0
Konduga,Camp(2),49.81,0
Kukawa,Camp(7),48.99,0
Kukawa,Monguno,67.59,0
Kwaya Kusar,Shani,58.05,0
Mafa,Camp(2),41.1,0
Mafa,Camp(3),41.16,0
Magumeri,Gubio,73.31,0
Magumeri,Nganzai,70.23,0
Magumeri,Jere,84.29,0
Maiduguri,Camp(2),22.24,0
Marte,Ngala,33.43,0
Marte,Monguno,50.2,0
Marte,Camp(3),48.28,0
Mobbar,Guzamala,76.24,0
Monguno,Camp(7),25.35,0
Ngala,Camp(6),20.01,0
Ngala,Camp(3),59.54,0
Nganzai,Jere,85.97,0
Abi,Afikpo North,40.51,0
Abi,Yakurr,29.14,0
Abi,Ezza South,30.28,0
Akamkpa,Odukpani,81.22,0
Akamkpa,Calabar Municipal,68.19,0
Akamkpa,Akpabuyo,71.24,0
Akpabuyo,Calabar South,27.06,0
Akpabuyo,Calabar Municipal,26.38,0
Akpabuyo,Oron,48.15,0
Bekwara,Obudu,29.3,0
Bekwara,Ogoja,41.74,0
Biase,Ohafia,73.07,0
Biase,Yakurr,74.64,0
Boki,Obudu,44.54,0
Boki,Obanliku,44.75,0
Boki,Ogoja,80.16,0
Calabar Municipal,Calabar South,13.84,0
Calabar Municipal,Oron,30.27,0
Calabar South,Udung Uko,38.15,0
Etung,Ikom,14.52,0
Etung,Obubra,66.85,0
Etung,Boki,73.38,0
Ikom,Obubra,53.03,0
Ikom,Boki,59.87,0
Obanliku,Obudu,43.01,0
Obubra,Ikwo,46.71,0
Obubra,Yakurr,46.15,0
Odukpani,Itu,28.2,0
Odukpani,Uruan,71.52,0
Odukpani,Calabar Municipal,37.28,0
Ogoja,Yala,37.12,0
Ogoja,Obudu,62.71,0
Yakurr,Afikpo North,46.03,0
Yakurr,Ikwo,64.61,0
Yala,Izzi,41.38,0
Aniocha North,Oshimili North,28.89,0
Aniocha North,Ika North East,30.51,0
Aniocha North,Esan South East,38.73,0
Aniocha South,Ika North East,34.87,0
Aniocha South,Aniocha North,32.64,0
Aniocha South,Oshimili North,34.85,0
Bomadi,Ughelli South,88.71,0
Bomadi,Udu,110.75,0
Bomadi,Patani,45.73,0
Burutu,Warri South,84.3,0
Burutu,Warri South West,52.83,0
Burutu,Bomadi,150.73,0
Ethiope East,Ughelli North,26.75,0
Ethiope East,Uvwie,31.47,0
Ethiope East,Isoko North,42.33,0
Ethiope West,Sapele,15.31,0
Ethiope West,Okpe,27.14,0
Ethiope West,Orhionmwon,37.87,0
Ika North East,Ika South,28.31,0
Ika South,Orhionmwon,29.5,0
Ika South,Aniocha South,63.61,0
Isoko North,Ughelli North,15.71,0
Isoko North,Isoko South,22.14,0
Isoko South,Ughelli North,32.93,0
Isoko South,Patani,60.34,0
Ndokwa East,Ndokwa West,25.91,0
Ndokwa East,Ogba - Egbema - Ndoni,42.05,0
Ndokwa East,Ukwuani,46.85,0
Ndokwa West,Ukwuani,29.78,0
Ndokwa West,Aniocha South,51.73,0
Okpe,Warri South,32.2,0
Okpe,Uvwie,15.6,0
Okpe,Sapele,26.45,0
Oshimili North,Oshimili South,35.82,0
Oshimili North,Onitsha South,38.22,0
Oshimili South,Idemili South,14.11,0
Patani,Ughelli South,58.98,0
Sapele,Warri South,57.65,0
Udu,Uvwie,13.47,0
Udu,Ughelli South,30.04,0
Udu,Ughelli North,31.86,0
Ughelli North,Ughelli South,17.33,0
Ukwuani,Ethiope East,47.49,0
Uvwie,Warri South,18.64,0
Warri North,Ese-Odo,275.55,0
Warri North,Warri South West,61.97,0
Warri North,Ilaje,290.29,0
Warri South,Udu,32.23,0
Warri South West,Warri South,53.63,0
Abakaliki,Ezza North,21.79,0
Abakaliki,Ebonyi,22.67,0
Abakaliki,Ezza South,28.91,0
Afikpo North,Afikpo South,26.32,0
Afikpo North,Ohaozara,33.63,0
Afikpo South,Ivo,25.2,0
Ebonyi,Ezza South,11.14,0
Ebonyi,Ezza North,11.81,0
Ezza North,Ezza South,22.57,0
Ezza South,Ikwo,26.09,0
Ikwo,Ebonyi,31.51,0
Ishielu,Ohaukwu,33.76,0
Ishielu,Nkanu East,40.69,0
Ishielu,Ezza North,43.23,0
Ivo,Aninri,34.47,0
Ivo,Ohaozara,37.01,0
Izzi,Ohaukwu,48.31,0
Izzi,Abakaliki,46.78,0
Ohaozara,Onicha,15.52,0
Ohaozara,Afikpo South,39.4,0
Ohaukwu,Abakaliki,36.72,0
Onicha,Ezza South,30.52,0
Onicha,Aninri,37.54,0
Akoko-Edo,Ogori/Magongo,21.34,0
Akoko-Edo,Akoko South East,36.81,0
Akoko-Edo,Okene,61.12,0
Egor,Ovia North East,11.35,0
Egor,Oredo,16.88,0
Egor,Ikpoba-Okha,26.55,0
Esan Central,Esan West,16.67,0
Esan Central,Igueben,15.96,0
Esan Central,Esan North East,37.62,0
Esan North East,Etsako Central,29.01,0
Esan North East,Esan South East,34.06,0
Esan South East,Igueben,43.42,0
Esan West,Igueben,29.08,0
Esan West,Uhunmwonde,36.97,0
Etsako Central,Etsako East,35.43,0
Etsako Central,Etsako West,27.62,0
Etsako East,Idah,29.54,0
Etsako East,Etsako West,48.63,0
Etsako West,Owan East,36.09,0
Etsako West,Esan North East,68.58,0
Ikpoba-Okha,Oredo,25.55,0
Ikpoba-Okha,Ovia North East,34.81,0
Oredo,Ovia North East,32.49,0
Orhionmwon,Ikpoba-Okha,54.1,0
